,equity
2020-06-19,1353361.5060972907
2020-06-20,1353361.5060972907
2020-06-21,1353361.5060972907
2020-06-22,1353361.5060972907
2020-06-23,1353361.5060972907
2020-06-24,1353361.5060972907
2020-06-25,1353361.5060972907
2020-06-26,1353361.5060972907
2020-06-27,1353361.5060972907
2020-06-28,1353361.5060972907
2020-06-29,1353361.5060972907
2020-06-30,1353361.5060972907
2020-07-01,1353361.5060972907
2020-07-02,1353361.5060972907
2020-07-03,1353361.5060972907
2020-07-04,1353361.5060972907
2020-07-05,1353361.5060972907
2020-07-06,1353361.5060972907
2020-07-07,1353361.5060972907
