Date,equity
2022-07-27,5.880848828068128e+54
2022-07-27,9.56446652322924e+54
2022-07-28,5.969248188067822e+54
2022-07-28,9.580454177730464e+54
2022-07-29,6.142376090508113e+54
2022-07-29,9.370757142150494e+54
2022-08-01,9.219313583836307e+54
2022-08-01,6.099754093311406e+54
2022-08-02,9.416099574594545e+54
2022-08-02,6.11334712464332e+54
2022-08-03,6.1151559553882906e+54
2022-08-03,9.160833555814994e+54
2022-08-04,6.147720429837802e+54
2022-08-04,9.125555490183026e+54
2022-08-05,9.197373344038476e+54
2022-08-05,9.292029852150335e+54
2022-08-08,9.529034186117202e+54
2022-08-08,1.3831465697524073e+55
2022-08-09,9.60983081460583e+54
2022-08-09,1.4022684624670297e+55
2022-08-10,9.597167624303073e+54
2022-08-10,1.3826840437752947e+55
2022-08-11,9.486738937856413e+54
2022-08-11,1.414014884565858e+55
2022-08-12,1.379473909819648e+55
2022-08-12,8.952713717602613e+54
2022-08-15,1.4340943154570358e+55
2022-08-15,8.954186347331916e+54
2022-08-16,1.4564777255916323e+55
2022-08-16,8.996891485980086e+54
2022-08-17,9.100848513471713e+54
2022-08-17,1.411383537019806e+55
2022-08-18,9.194126497425092e+54
2022-08-18,1.4041756609474063e+55
2022-08-19,1.393434527090208e+55
2022-08-19,8.958565800341124e+54
2022-08-22,1.3705805758064677e+55
2022-08-22,9.052817603566015e+54
2022-08-23,1.4292106561049006e+55
2022-08-23,9.195581131066306e+54
2022-08-24,9.223195772754939e+54
2022-08-24,1.39348188291496e+55
2022-08-25,1.411608788887327e+55
2022-08-25,9.173758661220556e+54
2022-08-26,9.223195772754939e+54
2022-08-26,1.4173054434574644e+55
2022-08-29,1.4365948507019158e+55
2022-08-29,2.1215907138265776e+55
2022-08-30,1.3932941779173982e+55
2022-08-30,2.0806134249584372e+55
2022-08-31,1.4101919916168282e+55
2022-08-31,2.090809299766164e+55
2022-09-01,2.090809299766164e+55
2022-09-01,2.1056416944389876e+55
2022-09-02,2.0921667450907424e+55
2022-09-02,3.016610288475495e+55
2022-09-05,2.089659841710905e+55
2022-09-05,3.088685643423385e+55
2022-09-06,2.0507033605894206e+55
2022-09-06,3.056714507592776e+55
2022-09-08,2.041143570298232e+55
2022-09-08,3.083482114903031e+55
2022-09-09,3.244087029408585e+55
2022-09-09,2.0409021990605513e+55
2022-09-12,3.2594649771543095e+55
2022-09-12,2.031057108948223e+55
2022-09-13,2.004697793325319e+55
2022-09-13,3.1988066711322543e+55
2022-09-14,3.184003373392341e+55
2022-09-14,3.202363208651061e+55
2022-09-15,5.129850006388806e+55
2022-09-15,3.199256792797942e+55
2022-09-16,3.1847605804755524e+55
2022-09-16,5.12467284412969e+55
2022-09-19,3.210289115191319e+55
2022-09-19,5.247561148242987e+55
2022-09-20,3.2009318913963316e+55
2022-09-20,5.195056703803879e+55
2022-09-21,3.205090646510488e+55
2022-09-21,5.196861865087832e+55
2022-09-22,5.23353218022926e+55
2022-09-22,8.376741876533186e+55
2022-09-23,5.068447620487915e+55
2022-09-23,8.257055822619759e+55
2022-09-26,8.269437290549883e+55
2022-09-26,5.013708456751927e+55
2022-09-27,5.046002727067947e+55
2022-09-27,8.277986178353668e+55
2022-09-28,8.332376596610643e+55
2022-09-28,5.012008715657338e+55
2022-09-29,8.300419558104875e+55
2022-09-29,8.344155625110438e+55
2022-09-30,8.414304016206808e+55
2022-09-30,1.446138471359319e+56
2022-10-03,1.4741978277978667e+56
2022-10-03,8.755025085024743e+55
2022-10-04,8.65221449251465e+55
2022-10-04,1.4633694959746462e+56
2022-10-05,1.4791243838229654e+56
2022-10-05,8.811109975536828e+55
2022-10-06,1.4558287160271612e+56
2022-10-06,8.960448517204587e+55
2022-10-07,1.4587325734224167e+56
2022-10-07,8.956415077813137e+55
2022-10-10,8.905322622958194e+55
2022-10-10,1.4382955914804393e+56
2022-10-11,8.871730284805301e+55
2022-10-11,1.4324849425048479e+56
2022-10-13,8.998327587189842e+55
2022-10-13,1.414842134064911e+56
2022-10-14,1.383192782780952e+56
2022-10-14,8.929508130155076e+55
2022-10-17,1.3901021904253056e+56
2022-10-17,8.925532141459078e+55
2022-10-18,1.4037536242481594e+56
2022-10-18,9.034213547628264e+55
2022-10-19,9.194189569220418e+55
2022-10-19,1.3913401432997229e+56
2022-10-20,9.333029202728218e+55
2022-10-20,1.4033728241061424e+56
2022-10-21,9.498314000324006e+55
2022-10-21,1.400938594368069e+56
2022-10-24,1.400938594368069e+56
2022-10-24,1.3574087455095022e+56
2022-10-25,1.3435912455358703e+56
2022-10-25,2.0805233573358222e+56
2022-10-26,1.3278546808804006e+56
